object_annotation_hierarchy2;Type;Sub_type;Value
living>Bacteria>attached;living;cyanobacteria;1
living>Bacteria>Cyanobacteria;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>cyano a;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>cyano b;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>Anabaena;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>Calothrix;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>Crocosphaera;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>Trichodesmium;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>Trichodesmium>puff;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>Trichodesmium>tuff;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>UCYNA;living;cyanobacteria;1
living>Bacteria>Cyanobacteria>Cyanophyceae>UCYNA like;living;cyanobacteria;1
living>Bacteria>Oscillatoriales>Katagnymene>Katagnymene spiralis;living;cyanobacteria;1
living>Bacteria>Proteobacteria>Cyanobacteria;living;cyanobacteria;1
living>Bacteria>Proteobacteria>Cyanobacteria>Nostocales>Nostocaceae>Richelia;living;cyanobacteria;1
living>duplicate;non_living;detritus;-1
living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Pyramimonadales>Halosphaera;living;other;1
living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Pyramimonadales>Halosphaera>phycoma;living;other;1
living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Pyramimonadales>Pterosperma;living;other;1
living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Pyramimonadales>Pyramimonas;living;other;1
living>Eukaryota>Harosa>Alveolata>Ciliophora;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Ciliophora X;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Colpodea>Cyrtolophosidida>Cyrtolophosididae>Prorocentrum;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Litostomatea>Cyclotrichia>Mesodiniidae>Mesodinium;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Litostomatea>Cyclotrichia>Mesodiniidae>Mesodinium>Mesodinium rubrum;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Litostomatea>Cyclotrichia>Mesodiniidae>Myrionecta>Myrionecta rubra;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Litostomatea>Haptoria>Lacrymariidae>Lacrymaria;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Oligohymenophorea>Peritrichia>Zoothamniidae;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Oligohymenophorea>Sessilida>Vorticellidae>Vorticella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Prostomatea>Prostomatea X>Colepidae>Tiarina>Tiarina fusus;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Codonellidae;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Codonellidae>Codonella;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Cyttarocylididae>Cyttarocylis;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Cyttarocylididae>Cyttarocylis>Cyttarocylis cassis;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Cyttarocylididae>Epiplocylis;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Dictyocystidae>Codonaria;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Dictyocystidae>Codonellopsis;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Dictyocystidae>Codonellopsis>Codonellopsis orthoceras;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Dictyocystidae>Codonellopsis>Codonellopsis sp.;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Dictyocystidae>Dictyocysta;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Metacylididae>Helicostomella;living;ciliophora;15
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Metacylididae>Metacylis;living;ciliophora;2
living>Eukaryota>Harosa>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Choreotrichia>Ptychocylididae>Favella;living;ciliophora;2
